Date,Sunrise,Sunset
1/1/2020,8:57:30,17:27:59
1/2/2020,8:57:28,17:28:57
1/3/2020,8:57:24,17:29:57
1/4/2020,8:57:17,17:30:59
1/5/2020,8:57:07,17:32:03
1/6/2020,8:56:54,17:33:09
1/7/2020,8:56:38,17:34:17
1/8/2020,8:56:19,17:35:27
1/9/2020,8:55:58,17:36:38
1/10/2020,8:55:34,17:37:51
1/11/2020,8:55:07,17:39:06
1/12/2020,8:54:37,17:40:23
1/13/2020,8:54:05,17:41:41
1/14/2020,8:53:30,17:43:00
1/15/2020,8:52:52,17:44:21
1/16/2020,8:52:12,17:45:43
1/17/2020,8:51:29,17:47:07
1/18/2020,8:50:43,17:48:31
1/19/2020,8:49:55,17:49:57
1/20/2020,8:49:05,17:51:23
1/21/2020,8:48:12,17:52:51
1/22/2020,8:47:17,17:54:19
1/23/2020,8:46:20,17:55:48
1/24/2020,8:45:20,17:57:18
1/25/2020,8:44:18,17:58:49
1/26/2020,8:43:13,18:00:20
1/27/2020,8:42:07,18:01:51
1/28/2020,8:40:58,18:03:24
1/29/2020,8:39:48,18:04:56
1/30/2020,8:38:35,18:06:30
1/31/2020,8:37:20,18:08:03
2/1/2020,8:36:04,18:09:37
2/2/2020,8:34:45,18:11:11
2/3/2020,8:33:25,18:12:45
2/4/2020,8:32:02,18:14:19
2/5/2020,8:30:39,18:15:54
2/6/2020,8:29:13,18:17:29
2/7/2020,8:27:45,18:19:03
2/8/2020,8:26:16,18:20:38
2/9/2020,8:24:46,18:22:13
2/10/2020,8:23:14,18:23:47
2/11/2020,8:21:40,18:25:22
2/12/2020,8:20:05,18:26:56
2/13/2020,8:18:28,18:28:31
2/14/2020,8:16:51,18:30:05
2/15/2020,8:15:11,18:31:39
2/16/2020,8:13:31,18:33:13
2/17/2020,8:11:49,18:34:47
2/18/2020,8:10:06,18:36:20
2/19/2020,8:08:22,18:37:53
2/20/2020,8:06:37,18:39:26
2/21/2020,8:04:51,18:40:59
2/22/2020,8:03:03,18:42:32
2/23/2020,8:01:15,18:44:04
2/24/2020,7:59:26,18:45:36
2/25/2020,7:57:35,18:47:08
2/26/2020,7:55:44,18:48:39
2/27/2020,7:53:52,18:50:10
2/28/2020,7:52:00,18:51:41
2/29/2020,7:50:06,18:53:12
3/1/2020,7:48:12,18:54:42
3/2/2020,7:46:17,18:56:12
3/3/2020,7:44:21,18:57:42
3/4/2020,7:42:25,18:59:11
3/5/2020,7:40:28,19:00:41
3/6/2020,7:38:31,19:02:10
3/7/2020,7:36:33,19:03:38
3/8/2020,7:34:35,19:05:07
3/9/2020,7:32:36,19:06:35
3/10/2020,7:30:36,19:08:03
3/11/2020,7:28:37,19:09:31
3/12/2020,7:26:37,19:10:58
3/13/2020,7:24:36,19:12:26
3/14/2020,7:22:36,19:13:53
3/15/2020,7:20:35,19:15:20
3/16/2020,7:18:34,19:16:46
3/17/2020,7:16:33,19:18:13
3/18/2020,7:14:31,19:19:39
3/19/2020,7:12:30,19:21:06
3/20/2020,7:10:28,19:22:32
3/21/2020,7:08:26,19:23:58
3/22/2020,7:06:24,19:25:23
3/23/2020,7:04:22,19:26:49
3/24/2020,7:02:21,19:28:15
3/25/2020,7:00:19,19:29:40
3/26/2020,6:58:17,19:31:06
3/27/2020,6:56:16,19:32:31
3/28/2020,6:54:14,19:33:56
3/29/2020,6:52:13,19:35:21
3/30/2020,6:50:12,19:36:47
3/31/2020,6:48:11,19:38:12
4/1/2020,6:46:11,19:39:37
4/2/2020,6:44:11,19:41:02
4/3/2020,6:42:11,19:42:27
4/4/2020,6:40:11,19:43:52
4/5/2020,6:38:12,19:45:17
4/6/2020,6:36:14,19:46:41
4/7/2020,6:34:15,19:48:06
